case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error,speedup
case_028,5,ok,8242960,21778944,27687552,13185024,b95256669f76c505500eeef6ba378fdc3131e3a2dea51bbfcb55fe4602753df7,6.6927330999897094,,5.317997418403098
case_029,2,ok,19740,0,430164,0,fbe162170b9c9c62e09f3710309e8db082fa41697e4f918d3e1ef38c2b7da1ca,0.12374519999139011,,1.9024822695035462
case_029,3,ok,12743,0,430164,0,8cfa07964f0606f9f8bad7dd5c29a916e3ae61c2b5581aaff84e5de32e0e15a4,0.09847149999404792,,2.9471082162756024
case_029,4,ok,11028,0,430164,0,5b44a65da3d901be1efa843fa3fa50a4f56e8b5def1fac6ba4015071e8a2d8ff,0.10541229999216739,,3.405422560754443
case_029,5,ok,9383,0,430164,0,fe50dd6711824f67b6cdd8a164fa1c3f17ef9d224032948de3e75e0153b0f539,0.10071590000006836,,4.002451241607162
case_030,2,ok,1401423,6940672,9334732,4989952,f2e68b889358a52892e0c7b478b358132b8da92311b9d0aa66afca2869810e82,2.6728315000073053,,2.003701951516423
case_030,3,ok,933969,9071616,11465676,5170176,a6cb61a4a7da4e36f2b09731d0bf7ff918c54a91d8111340524c1d556a0a2c21,2.897258099997998,,3.0065601749094455
case_030,4,ok,708655,6354536,8748596,1826816,92791796c8a234dbd784b40caa86c93264770d6a3b5d5e5a9daa5cf88ce882da,2.76887159999751,,3.9624838602705124
case_030,5,ok,561192,11644416,14038476,3974656,41ab2f3cdbabc1030ec067aad6cb6fa699d1dd658ec420dfa82847895cb3cdbf,2.834128000002238,,5.0036957048568045
case_031,2,ok,735345,5564928,7749968,3833856,311d17a40c3cb496863be4365ec489d2f87451643c5790ac0a5c6b5731cf07ff,1.526250599999912,,1.923408740115184
case_031,3,ok,486363,5018112,7203152,2231808,97abf64285759417889e9d0c6e4c87a9b358cee8e85832d69b4b0350be018e11,1.3431030999927316,,2.9080522161430866
case_031,4,ok,398198,7971840,10156880,2913792,fd99cf44818ad432c7e85f94e875afb94ea8eb98f26ba2f45488c0ca0f8ee53d,1.4513463000039337,,3.5519239172471986
case_031,5,ok,308135,8217600,10402640,1496064,eb856411e30dd5cb003861aede56738eaefaa359452970f1067f5fb875fc2315,1.4489766000042437,,4.590095250458403
case_032,2,ok,21880,6216,299304,0,22d966270516baba81598370d6e1eae546e5d3e5235d331d34d8f0ff877d3f4b,0.10708769998745993,,1.8941042047531993
case_032,3,ok,15402,12360,305448,0,4288b347b73bf2580ff2ea29f4b1e533fb1e01fe68c0261b333cf14cc71feb08,0.10843900000327267,,2.690754447474354
case_032,4,ok,14274,12360,305448,0,8c2973cf844c9d49c1a3aa3921e913bb782fe8d3baa287b91f6b5c0daa6ef7b3,0.11448669999663252,,2.9033907804399606
case_032,5,ok,10415,12360,305448,0,07f86d797d43e1bfed97cbc8ee174678f1e6da5926769783bb19e09ff9ea6aaa,0.08869679999770597,,3.9791646663466156
case_033,2,ok,936496,7731434,10704344,5157888,672451aebb9873bd6f6ff9ae60b233fcfcdd1401bb1e6b0867d616971b25e2bb,0.9008018000022275,,1.894504621482633
case_033,3,ok,623371,6634254,9607164,2472448,7aa6a65ca902cda3fdc156b0475a53631390954abc3ee308564217f07ba5dfb7,0.8884053000074346,,2.8461317578135654
case_033,4,ok,482080,9210708,12183618,2103808,6ee78837109f9927c0a66bfbb0b8ebc9bfc41cadd138e4044b718625ce5e7c55,0.8997666999930516,,3.6802937271822103
case_033,5,ok,362856,8163996,11136906,1402880,1a0ee8b5de2ca6f385c8ed6178bcd7d14a32ab0f2d1a5aa36e31755cb0167222,0.8398410999943735,,4.889531935533655
case_034,2,ok,418129,1648128,3928514,581632,135538a2cfcc63967fdc3c449cf823b3462009a0e43aa16362a1a7cc7f91c311,0.7131210000079591,,2.016114644045259
case_034,3,ok,282515,2638336,4918722,201216,71f9506f18b728d92d1624108d2c9ea3306e4aff30d868f75357940202a044d3,0.7755380000016885,,2.9838982000955703
case_034,4,ok,213112,3176960,5457346,57344,44ece2a59f865bc31fe97da6687cb524b703bad8fed202621d3a2311cbd6eac0,0.7580064999929164,,3.955647734524569
case_034,5,ok,178096,3536896,5817282,49152,806c10d4431d08eb22870d06d30ee02f2ab1c0ae00a504ec0254644a536b3b26,0.7916985000047134,,4.733379750247058
case_035,2,ok,95406,0,410854,0,936ef0ac00fed42fb30caae1cb2ef9c8be8bc8c7f0b2114d0c30a9183725ac93,0.625478000001749,,1.7773620107750037
case_035,3,ok,92120,1214380,1625234,0,74e4ca50387f22297f087828542c645edbada5b741c48eff054d45921555aff2,0.9063385999907041,,1.8407620495006514
case_035,4,ok,74735,1211328,1622182,0,aef6bb9b9279ec3313493efc48a79996deb0418a040ebc969633bf1c7c15c7cb,0.8877164999867091,,2.268963671639794
case_035,5,ok,74644,1568002,1978856,0,db4a94f213acd7c43361c8616624824b6546298b338a7d05ca05efd1257d5658,0.9130789000046207,,2.2717298108354322
case_036,2,ok,466068,1152,6555904,0,1091950ace1db6366b0a8c01cec87a9da2f235d68013ad2a8c094b1d27116ae4,0.513868399997591,,1.998656848356892
case_036,3,ok,311345,2304,6557056,0,b5bad51cacdc26bc9066743254ae34f5de87d8385198c90fc229eebb21ceb00d,0.4999690999975428,,2.991890025534375
case_036,4,ok,233584,3456,6558208,0,64c91dd4d1bfd63fa955f5c690411caf24d4c1071c32871d990ca064e6fba07a,0.4919353000004776,,3.987901568600589
