case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,wall_seconds,stop_reason,selected
case_033,4,1774196,460454,448507,3.9557821840015874,2.594613142680924,7873656,2092544,523776,81932,24,13,0,33.42886820000058,evaluation_budget,critical_order
case_033,5,1774196,376794,359011,4.941898716195325,4.719554982298025,8182426,1402880,523776,59392,24,28,0,36.575907900001766,evaluation_budget,chain_s4_r8062_d5_c0
case_034,2,842996,418129,417603,2.0186540805501876,0.1257984975928439,1645064,578560,524288,122898,24,14,0,30.506431800000428,evaluation_budget,chain_s0_r5775_d9_c1
case_034,3,842996,282515,280008,3.010613982457644,0.8873865104507717,2656288,192532,523776,122894,24,29,0,37.753554599999916,evaluation_budget,move_s4_c2
case_034,4,842996,213112,213112,3.955647734524569,0.0,3176960,57344,472576,122890,24,16,0,29.260704899999837,evaluation_budget,base_w0_k4
case_034,5,842996,178096,177825,4.740593279910024,0.1521651244272726,3536896,49152,326144,122890,24,33,0,33.83571309999752,evaluation_budget,split_s1_d9_c1
case_035,2,169571,95406,95406,1.7773620107750037,0.0,0,0,73728,74792,14,8,0,14.303429999999935,no_new_candidate,base_w0_k2
case_035,3,169571,95424,92120,1.8407620495006514,3.462441314553988,1214380,0,73856,32086,24,1,0,29.611871000000974,evaluation_budget,valley_w1_k3
case_035,4,169571,95442,57436,2.9523469600947143,39.82104314662308,860672,0,73728,20882,24,6,0,40.854167600002256,evaluation_budget,chain_s4_r350_d25_c3
case_035,5,169571,95460,57788,2.9343635356821487,39.46364969620784,1089220,0,73728,20686,24,2,0,32.60121820000131,evaluation_budget,eft_placement
case_036,2,931510,466068,466068,1.998656848356892,0.0,1152,0,13440,8192,15,5,0,11.590161599997373,no_new_candidate,base_w0_k2
case_036,3,931510,311345,311345,2.991890025534375,0.0,2304,0,13440,8192,24,9,0,16.950539400000707,evaluation_budget,base_w0_k3
case_036,4,931510,233584,233584,3.987901568600589,0.0,3456,0,13440,8192,24,12,0,16.218835100000433,evaluation_budget,base_w0_k4
case_036,5,931510,187182,187182,4.976493466252097,0.0,4608,0,13440,8192,24,15,0,13.087995600002614,evaluation_budget,base_w0_k5
case_037,2,210001,105374,105374,1.992910964754114,0.0,204800,0,225280,0,21,6,0,2.854466600001615,no_new_candidate,base_w0_k2
case_037,3,210001,74038,73423,2.8601528131511924,0.8306545287555034,1302528,0,274432,0,24,21,0,4.556517699998949,evaluation_budget,chain_s1_r259_d3_c2
case_037,4,210001,53320,53320,3.938503375843961,0.0,614400,0,110592,0,24,14,0,3.7515172000021266,evaluation_budget,base_w0_k4
case_037,5,210001,43800,43800,4.794543378995434,0.0,1925120,0,28672,0,24,21,0,4.481470400001854,evaluation_budget,base_w0_k5
case_038,2,1364555,683459,680241,2.0059875838122077,0.470840240599657,4281432,2776576,524288,115758,24,19,0,49.16971840000042,evaluation_budget,chain_s4_r3114_d19_c1
case_038,3,1364555,462076,454331,3.0034380220588073,1.6761311991966732,8208396,3329024,524288,110592,24,11,0,43.71292109999922,evaluation_budget,band_w16_k3
case_038,4,1364555,346382,340987,4.001780126515087,1.5575289709049533,9405444,2569728,524288,45056,24,12,0,40.114462400000775,evaluation_budget,chain_s8_r3114_d27_c1
case_038,5,1364555,280919,276832,4.929180875043348,1.4548677732727278,8981516,1413632,524288,65536,24,26,0,41.71222060000218,evaluation_budget,band_w16_k5
case_039,2,1435262,708561,708561,2.025601183243221,0.0,11067392,6864896,524288,0,23,7,0,32.896332399999665,no_new_candidate,base_w0_k2
case_039,3,1435262,485565,474850,3.022558702748236,2.206707649851203,13881344,4698112,524288,0,24,27,0,42.8421617999993,evaluation_budget,chain_s3_r647_d7_c2
case_039,4,1435262,395323,367778,3.902522717508932,6.967720066882022,12492800,6103040,524288,0,24,22,0,36.551493299997674,evaluation_budget,data_w4_k4
case_039,5,1435262,431161,395087,3.632774553452784,8.366712202634286,17776640,5152768,524288,0,24,36,0,43.13314309999987,evaluation_budget,chain_s0_r947_d7_c2
case_040,2,253454,144027,137167,1.8477767976262511,4.76299582717129,278086,0,245760,103270,24,10,0,14.126485099997808,evaluation_budget,valley_w24_k2
case_040,3,253454,110105,110105,2.301929975932065,0.0,0,0,245760,90112,24,8,0,13.779730199999904,evaluation_budget,base_w0_k3
case_040,4,253454,110202,108776,2.3300544237699494,1.2939874049472833,3337500,0,82176,90242,24,7,0,22.56887740000093,evaluation_budget,band_w4_k4
case_040,5,253454,110337,102679,2.468411262283427,6.940554845609359,3505998,0,57856,84356,24,9,0,33.03361640000003,evaluation_budget,move_s0_c1
case_041,2,6003957,3002984,2990754,2.0075061339046942,0.4072615771512633,32353304,27420672,524288,8200,21,13,0,185.02465669999947,time_budget,valley_w24_k2
case_041,3,6003957,1998385,1997284,3.006060730471981,0.05509448879970069,34487376,24566784,524288,16386,18,12,0,181.86760850000064,time_budget,move_s0_c2
case_041,4,6003957,1501288,1498779,4.0058988016245225,0.16712316357687662,34913292,21209088,524288,8198,20,40,0,201.09948059999806,time_budget,chain_s0_r3909_d10_c1
case_041,5,6003957,1213259,1204262,4.985590344958157,0.7415564195279001,38810672,20245504,524288,10244,13,54,0,192.94259320000128,time_budget,chain_s4_r1577_d10_c0
case_042,2,1686740,849537,849537,1.9854815034542346,0.0,6469920,4417536,524288,32776,24,11,0,41.660607900001196,evaluation_budget,base_w0_k2
case_042,3,1686740,567781,567697,2.9711976635423474,0.014794436587350912,8280352,4159488,524288,32776,24,19,0,48.04188620000059,evaluation_budget,chain_s2_r735_d24_c1
case_042,4,1686740,444517,423165,3.986010185152364,4.803415842363734,4217704,785408,524288,33800,24,44,0,59.805618599999434,evaluation_budget,data_w16_k4
case_042,5,1686740,362266,362118,4.657984413920325,0.04085395814125148,10058752,2092032,524288,32776,24,65,0,61.105767000000924,evaluation_budget,chain_s2_r4361_d24_c1
case_043,2,677656,353177,343756,1.9713285004479921,2.6675009980831166,2195566,268176,524176,129734,24,15,0,112.46093169999949,evaluation_budget,split_s17_d179_c1
case_043,3,677656,268777,265494,2.5524343299660255,1.2214586813603878,3493796,38116,295232,122900,24,8,0,100.2804305000027,evaluation_budget,chain_s4_r127_d26_c0
case_043,4,677656,269194,218005,3.1084424669158963,19.01565413790798,4905084,0,236544,104422,24,0,0,124.82967849999841,evaluation_budget,chain_s17_r3326_d80_c0
case_043,5,677656,269612,187206,3.61984124440456,30.56466329391867,4990160,0,244736,115734,24,1,0,114.39915179999662,evaluation_budget,chain_s16_r127_d69_c3
case_044,2,154407,131105,43887,3.5182855971016473,66.5253041455322,930400,0,172160,0,24,8,0,6.896406300002127,evaluation_budget,data_w2_k2
case_044,3,154407,123553,43931,3.514761785527304,64.44359910321886,930400,0,172160,0,24,12,0,8.244783300000563,evaluation_budget,band_w2_k2
case_044,4,154407,124268,43931,3.514761785527304,64.64817974056072,930400,0,172160,0,24,16,0,9.736366299999645,evaluation_budget,band_w2_k2
case_044,5,154407,132892,43931,3.514761785527304,66.94232910935196,930400,0,172160,0,24,19,0,11.094053500000882,evaluation_budget,band_w2_k2
case_045,2,125614,63059,63059,1.99200748505368,0.0,0,0,0,32768,14,22,0,4.828016800001933,no_new_candidate,base_w0_k2
case_045,3,125614,42601,42601,2.94861622966597,0.0,0,0,0,32768,24,30,0,7.219682900002226,evaluation_budget,base_w0_k3
case_045,4,125614,31878,31878,3.940460505677897,0.0,0,0,0,32768,15,40,0,4.18139230000088,no_new_candidate,base_w0_k4
case_045,5,125614,26164,26164,4.801024308209754,0.0,0,0,0,32768,24,24,0,6.58817899999849,evaluation_budget,base_w0_k5
case_046,2,276455,166578,105918,2.610085160218282,36.41537297842452,930400,0,213504,0,24,16,0,5.260167799999181,evaluation_budget,data_w2_k2
case_046,3,276455,142176,79904,3.459839307168602,43.79923475129417,1860800,0,197120,0,24,14,0,5.563564099997166,evaluation_budget,data_w2_k3
