case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_025,q1,4,ok,1217444,8217600,8300544,82944,,,50.842,
case_025,q1,5,ok,975282,8217600,8328192,110592,,,40.309,
case_025,q2,1,ok,4863026,8217600,8217600,0,,,14.682,
case_025,q2,2,ok,2431840,8217600,8245248,27648,,,10.117,
case_025,q2,3,ok,1622164,8217600,8272896,55296,,,8.931,
case_025,q2,4,ok,1217444,8217600,8300544,82944,,,7.726,
case_025,q2,5,ok,975282,8217600,8328192,110592,,,7.308,
case_025,q3,1,ok,4863026,8217600,8217600,0,0.0,0,14.071,
case_025,q3,2,ok,2431840,8217600,8245248,27648,0.0,0,10.297,
case_025,q3,3,ok,1622164,8217600,8272896,55296,0.0,0,8.992,
case_025,q3,4,ok,1217444,8217600,8300544,82944,0.0,0,7.729,
case_025,q3,5,ok,975282,8217600,8328192,110592,0.0,0,7.597,
case_025,singlecore,1,ok,4863026,8217600,8217600,0,,,230.762,
case_026,q1,2,ok,58112,528854,529142,288,,,0.154,
case_026,q1,3,ok,41655,528854,624518,95664,,,0.188,
case_026,q1,4,ok,42226,528854,699686,170832,,,0.196,
case_026,q1,5,ok,44114,528854,740534,211680,,,0.2,
case_026,q2,1,ok,99203,528854,528854,0,,,0.131,
case_026,q2,2,ok,58112,528854,529142,288,,,0.134,
case_026,q2,3,ok,41655,528854,624518,95664,,,0.126,
case_026,q2,4,ok,42226,528854,699686,170832,,,0.114,
case_026,q2,5,ok,44114,528854,740534,211680,,,0.124,
case_026,q3,1,ok,99203,528854,528854,0,0.0,0,0.095,
case_026,q3,2,ok,58112,528854,529142,288,0.0005887475622171252,288,0.11,
case_026,q3,3,ok,41655,528854,624518,95664,0.16365409289196817,95664,0.096,
case_026,q3,4,ok,42208,528854,699686,170832,0.1844424435895337,121680,0.088,
case_026,q3,5,ok,43698,528854,740534,211680,0.16183485924238403,113376,0.105,
case_026,singlecore,1,ok,99203,528854,528854,0,,,0.22,
case_027,q1,2,ok,1120962,2039808,3784704,1744896,,,0.532,
case_027,q1,3,ok,837049,2039808,5726208,3686400,,,0.711,
case_027,q1,4,ok,559196,2039808,5357568,3317760,,,0.445,
case_027,q1,5,ok,558753,2039808,7569408,5529600,,,0.562,
