case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,strategy,source_plan,source_result
case_027,2,2363952,1120962,1120962,2.10886006840553,1744896,1105920,638976,524288,0,baseline,baseline_results_15_55/case_027/q2_n2/case_027_multicore_res.json,baseline_results_15_55/case_027/q2_n2/result.json.gz
case_027,3,2363952,837049,837049,2.8241500796249683,3686400,3686400,0,518144,0,baseline,baseline_results_15_55/case_027/q2_n3/case_027_multicore_res.json,baseline_results_15_55/case_027/q2_n3/result.json.gz
case_027,4,2363952,559196,559196,4.227412213249022,3317760,3317760,0,245760,0,baseline,baseline_results_15_55/case_027/q2_n4/case_027_multicore_res.json,baseline_results_15_55/case_027/q2_n4/result.json.gz
case_027,5,2363952,558753,537810,4.395515144753723,15810560,15810560,0,393216,0,band_w12_k5,q2_optimization/band/case_027/n5/band_w12_k5/case_027_multicore_res.json,q2_optimization/band/case_027/n5/band_w12_k5/result.json.gz
case_028,2,43836040,23638628,20602291,2.1277264746915767,41688192,2240640,39447552,523776,0,band_w4_k2_trimmed,q2_optimization/transfer/case_028/n2/band_w4_k2_trimmed/case_028_multicore_res.json,q2_optimization/transfer/case_028/n2/band_w4_k2_trimmed/result.json.gz
case_028,3,43836040,16770711,13725435,3.1937814721354916,33456384,4296960,29159424,523776,0,band_w4_k3_trimmed,q2_optimization/transfer/case_028/n3/band_w4_k3_trimmed/case_028_multicore_res.json,q2_optimization/transfer/case_028/n3/band_w4_k3_trimmed/result.json.gz
case_028,4,43836040,13608312,10387905,4.219911522101906,34603392,20545920,14057472,519336,0,band_w4_k4_trimmed,q2_optimization/transfer/case_028/n4/band_w4_k4_trimmed/case_028_multicore_res.json,q2_optimization/transfer/case_028/n4/band_w4_k4_trimmed/result.json.gz
case_028,5,43836040,11491035,8280730,5.293741010756298,32745984,22694400,10051584,517392,0,band_w4_k5,q2_optimization/band/case_028/n5/band_w4_k5/case_028_multicore_res.json,q2_optimization/band/case_028/n5/band_w4_k5/result.json.gz
case_029,2,37555,19740,19706,1.9057647417030346,266326,266326,0,0,53270,band_w4_k2_trimmed,q2_optimization/transfer/case_029/n2/band_w4_k2_trimmed/case_029_multicore_res.json,q2_optimization/transfer/case_029/n2/band_w4_k2_trimmed/result.json.gz
case_029,3,37555,12743,12743,2.9471082162756024,0,0,0,0,14340,band_w12_k3_trimmed,q2_optimization/transfer/case_029/n3/band_w12_k3_trimmed/case_029_multicore_res.json,q2_optimization/transfer/case_029/n3/band_w12_k3_trimmed/result.json.gz
