case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_033,5,1774196,376794,376794,4.708663089115007,8297088,baseline,baseline_results_29_55/case_033/q1_n5/case_033_multicore_res.json
case_034,2,842996,418129,418129,2.016114644045259,1648128,baseline,baseline_results_29_55/case_034/q1_n2/case_034_multicore_res.json
case_034,3,842996,282515,282515,2.9838982000955703,2638336,baseline,baseline_results_29_55/case_034/q1_n3/case_034_multicore_res.json
case_034,4,842996,213112,213112,3.955647734524569,3176960,baseline,baseline_results_29_55/case_034/q1_n4/case_034_multicore_res.json
case_034,5,842996,178096,178096,4.733379750247058,3536896,baseline,baseline_results_29_55/case_034/q1_n5/case_034_multicore_res.json
case_035,2,169571,95406,95406,1.7773620107750037,0,baseline,baseline_results_29_55/case_035/q1_n2/case_035_multicore_res.json
case_035,3,169571,95424,90451,1.8747277531481132,536476,valley_merge_24_heft,q1_optimization/case_035/n3/valley_merge_24_heft/case_035_multicore_res.json
case_035,4,169571,95442,72321,2.3446993266132936,583578,valley_merge_24_heft,q1_optimization/case_035/n4/valley_merge_24_heft/case_035_multicore_res.json
case_035,5,169571,95460,57542,2.9469083452087173,611392,valley_merge_24_heft,q1_optimization/case_035/n5/valley_merge_24_heft/case_035_multicore_res.json
case_036,2,931510,466068,466068,1.998656848356892,1152,baseline,baseline_results_29_55/case_036/q1_n2/case_036_multicore_res.json
case_036,3,931510,311345,311345,2.991890025534375,2304,baseline,baseline_results_29_55/case_036/q1_n3/case_036_multicore_res.json
case_036,4,931510,233584,233584,3.987901568600589,3456,baseline,baseline_results_29_55/case_036/q1_n4/case_036_multicore_res.json
case_036,5,931510,187182,187182,4.976493466252097,4608,baseline,baseline_results_29_55/case_036/q1_n5/case_036_multicore_res.json
case_037,2,210001,105374,105374,1.992910964754114,204800,baseline,baseline_results_29_55/case_037/q1_n2/case_037_multicore_res.json
case_037,3,210001,74038,74038,2.836394824279424,1064960,baseline,baseline_results_29_55/case_037/q1_n3/case_037_multicore_res.json
case_037,4,210001,53320,53320,3.938503375843961,614400,baseline,baseline_results_29_55/case_037/q1_n4/case_037_multicore_res.json
case_037,5,210001,43800,43800,4.794543378995434,1925120,baseline,baseline_results_29_55/case_037/q1_n5/case_037_multicore_res.json
case_038,2,1364555,683459,683459,1.996542587046187,6094848,baseline,baseline_results_29_55/case_038/q1_n2/case_038_multicore_res.json
case_038,3,1364555,462076,462076,2.9530964603225445,7942656,baseline,baseline_results_29_55/case_038/q1_n3/case_038_multicore_res.json
case_038,4,1364555,346382,346382,3.9394512416926974,8761344,baseline,baseline_results_29_55/case_038/q1_n4/case_038_multicore_res.json
case_038,5,1364555,280919,280919,4.857467811006019,9070080,baseline,baseline_results_29_55/case_038/q1_n5/case_038_multicore_res.json
case_039,2,1435262,708561,708561,2.025601183243221,11067392,baseline,baseline_results_29_55/case_039/q1_n2/case_039_multicore_res.json
case_039,3,1435262,485565,485565,2.9558596686334475,14323712,baseline,baseline_results_29_55/case_039/q1_n3/case_039_multicore_res.json
case_039,4,1435262,395323,395323,3.6306058590064327,17604608,baseline,baseline_results_29_55/case_039/q1_n4/case_039_multicore_res.json
