case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,cold_search_wall_seconds,selected
case_049,2,196276,160206,118661,1.654090223409545,25.932237244547647,1012058,0,86176,110564,24,10,0,25.325980399997206,cold
case_049,3,196276,160224,100334,1.9562262044770466,37.378919512682245,1503824,0,60032,92130,24,1,0,26.747800000001007,cold
case_049,4,196276,160242,86256,2.2755054720831014,46.17141573370277,1742718,0,54432,95842,24,0,0,30.300305099997786,cold
case_049,5,196276,160260,82319,2.3843341148459043,48.63409459628104,2060912,0,49280,95778,24,0,0,31.344660800001293,cold
case_050,2,149690,108121,74691,2.004123656129922,30.919062901748966,330004,16582,17216,128304,24,13,0,25.3011445000011,cold
case_050,3,149690,108134,56979,2.6271082328577195,47.307044962731425,723864,0,16544,71436,24,16,0,33.15051850000236,cold
case_050,4,149690,108147,43856,3.4132159795695003,59.44778865803028,811130,0,15392,57384,24,10,0,22.568359999997483,cold
case_050,5,149690,108160,40755,3.6729235676604097,62.31971153846154,958336,0,15104,65576,24,6,0,33.25931370000035,cold
case_051,2,607628,607628,318295,1.9090089382491084,47.616798435885116,668,0,196608,65546,20,6,0,5.399395300002652,cold
case_051,3,607628,607628,227413,2.6719140946208,62.57364703404057,952,0,131072,65542,24,6,0,5.947503499999584,cold
case_051,4,607628,607628,178135,3.4110534145451483,70.68354322052308,1140,0,98304,65540,24,6,0,6.117049600001337,cold
case_051,5,607628,607628,178135,3.4110534145451483,70.68354322052308,1140,0,98304,65540,24,7,0,6.529996299999766,cold
case_052,2,180301,91254,84778,2.1267427870438085,7.096675214237185,858788,45056,334336,129054,24,13,0,5.891346700002032,cold
case_052,3,180301,63361,60514,2.9794923488779457,4.493300295134231,832012,0,135936,86262,24,7,0,5.995316199998342,cold
case_052,4,180301,47721,45559,3.9575276015715883,4.530500199073783,651248,0,101376,81192,24,21,0,7.12890310000148,cold
case_052,5,180301,51670,37971,4.74838692686524,26.51248306560867,808652,0,101376,67620,24,49,0,10.290350899998884,cold
case_053,2,1472686,774929,703256,2.094096602090846,9.248976357834072,5343438,0,350064,70388,24,5,0,123.98709719999897,cold
case_053,3,1472686,546106,494145,2.980270973094942,9.514819467282909,8154352,0,235328,47876,24,5,0,130.47285069999998,cold
case_053,4,1472686,492232,412060,3.573960102897636,16.287441694160478,10218514,0,191040,32004,24,3,0,114.53267839999899,cold
case_053,5,1472686,492699,362409,4.063602173235212,26.444137292748714,7309256,6632,499200,131072,24,8,0,131.81281650000165,cold
case_054,2,815051,517960,419294,1.9438651638229978,19.048961309753647,4776444,0,278528,90340,19,6,0,134.32288049999988,cold
case_054,3,815051,517986,292055,2.7907448939412096,43.617202009320714,1859024,0,105984,23252,24,6,0,143.20435949999955,cold
case_054,4,815051,518015,231708,3.517578158717006,55.27002113838403,1766610,0,101376,21876,24,3,0,146.75406959999964,cold
case_054,5,815051,518133,201383,4.047268140806325,61.13295235007228,2980344,0,101376,19124,24,5,0,157.5513764999996,cold
case_055,2,118835,65764,59221,2.006636159470458,9.949212335016117,618150,0,75264,103458,24,4,0,7.465425200000027,cold
case_055,3,118835,43687,42829,2.774638679399472,1.9639709753473573,115712,0,65536,114704,24,13,0,7.440509899999597,cold
case_055,4,118835,31367,30952,3.8393318686999223,1.3230465138521375,514712,0,82432,82950,24,19,0,7.037419199998112,first_range
case_055,5,118835,26781,26264,4.524634480657935,1.9304730965983348,652328,0,43008,69640,24,16,0,5.991555299999163,neighbor
case_056,2,277285,265710,153129,1.8107935139653495,42.36987693349893,2662330,0,22208,71052,24,7,0,77.35361829999965,cold
