case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_029,3,37555,12743,12743,2.9471082162756024,2.9471082162756024,0.0,0,0,0,14340,1.0,689304,True,8,2.963531157001853,base_w0_k3
case_029,4,37555,11028,11028,3.405422560754443,3.405422560754443,0.0,0,0,0,14340,1.0,689304,True,8,2.928040514991153,base_w0_k4
case_029,5,37555,9383,9383,4.002451241607162,4.002451241607162,0.0,0,0,0,14340,1.0,689304,True,8,3.0950413029640913,base_w0_k5
case_030,2,2808034,1401423,1400843,2.003701951516423,2.0045315570695648,0.041386505002415405,6942724,4992000,524288,132,0.9999999512230527,41002974,False,8,49.26699066197034,chain_s0_r1363_d10_c1
case_030,3,2808034,933969,932106,3.0065601749094455,3.012569385885296,0.19947128866161512,7190948,3289088,524288,170,0.9999948784205323,41002766,False,8,72.91382980899652,eft_placement
case_030,4,2808034,699591,698001,4.0138223619228945,4.022965583143864,0.22727565105897587,8629252,3374080,524288,132,0.9999999512230527,41002974,False,8,51.14731174404733,chain_s0_r1363_d10_c1
case_030,5,2808034,561192,560435,5.0036957048568045,5.010454379187595,0.13489144535203637,7753200,1547264,524288,154,0.9999939516585332,41002728,False,8,73.21866186900297,band_w8_k5
case_031,2,1414369,735345,717338,1.923408740115184,1.9716911692953671,2.448782544247938,4453748,2352864,524288,130322,0.9545581560853978,16192044,False,8,35.22587351198308,band_w4_k2
case_031,3,1414369,486363,485053,2.9080522161430866,2.9159060968595183,0.26934614680804253,7224110,3467616,524288,60612,0.9841761428550879,16694450,False,8,29.352961992030032,valley_w1_k3
case_031,4,1414369,398198,373081,3.5519239172471986,3.7910507369713278,6.307666035489882,7481616,1111682,524288,130050,0.9674290927689823,16410372,False,8,36.62362170300912,eft_placement
case_031,5,1414369,308135,294518,4.590095250458403,4.802317685166951,4.419166923588687,8696372,1413600,524288,60612,0.9811558988727613,16643218,False,8,31.74621556099737,valley_w1_k5
case_032,2,41443,21880,20568,1.8941042047531993,2.0149260987942434,5.996343692870201,288944,0,47104,71692,0.9058504617466596,867504,True,8,3.511094329995103,band_w4_k2
case_032,3,41443,15402,14396,2.690754447474354,2.878785773826063,6.531619270224646,295180,0,53248,43018,0.8716235689195003,834726,True,8,4.335058684984688,move_s9_c2
case_032,4,41443,14274,13016,2.9033907804399606,3.18400430239705,8.81322684601373,249088,0,53248,40960,0.8988960683660726,860844,True,8,3.6156783669721335,chain_s4_r398_d11_c2
case_032,5,41443,10415,10415,3.9791646663466156,3.9791646663466156,0.0,12360,0,40960,36876,1.0,957668,True,8,2.6809346129884943,base_w0_k5
