case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_016,2,ok,4154388,4154388,8536,8536,0.0,0,397484,1.0,16.488389200000256,5620ff2e7f10dcb2825245c1644b0d81e88c238e27497075cb2a058426052374,
case_016,3,ok,2884306,2884306,4872,4872,0.0015367039721775702,608,395044,1.0,11.347450599999775,c982608b71fb254199bb203da2d26c471492fa6ba692e5dec44a1a8f9f2c7677,
case_016,4,ok,2241799,2241799,14628,14628,0.0030359773300377,1216,399314,1.0,15.072776900000008,f560d2415268e2bfa81cd063931dcc01c130c1b86ae17ea89adc95c720b73aef,
case_017,1,ok,162810,162810,22528,22528,0.040398388942088706,22528,535118,1.0,0.4040967000000819,c36e6d525cd519d79928fe8ff1345d0cd934f98fb949acc3c490fb713f986938,
case_017,2,ok,83591,83533,87552,87552,0.022201165946649108,13824,608846,1.0006943363700573,0.4462834999999359,7902bfcb309a738a2ecf957790bdb0756c46ae0cfcaf4d0e4525c2aeb2da44a7,
case_017,3,ok,58093,56962,872728,872728,0.361542669495446,445456,786642,1.01985534215793,0.5851725000002261,af186a56c4c9557615109573499d938a94715780009e89e3b70c5f3b6449265d,
case_017,4,ok,41344,41259,259200,259200,0.047859925118151674,38016,756302,1.0020601565718994,0.41666540000005625,80744ae4744f8ba2679304e52b494969667a53951fa83c70a34b311926055fff,
case_018,1,ok,1004367,1003110,1970176,1970176,0.34375031576536474,1224704,2338068,1.0012531028501361,1.0916442000002462,174b48c09866484714824a3cedcbb2825bc5786c2b2d741867aaece4df7839b5,
case_018,2,ok,505216,505216,1266688,1266688,0.4272510180870456,1221632,1637652,1.0,1.036114699999871,72d4bb32ea6731739f6e1f9053dacd0a2bf81c88e2aab7ff0e4c35e836435783,
case_018,3,ok,350932,350547,2474368,2474368,0.49274298961092355,2003968,2062996,1.001098283539725,0.9886649000000034,f412935bb454f5f425463beb60402e4c8e7e2513610e9ad6d69fd1a927644e7f,
case_018,4,ok,260262,258970,4800256,4800256,0.6210631006134915,3899136,2379028,1.00498899486427,1.1041665000002467,9a6572e9ec436f64da210381dcd3b123b84c5bdddd4d79ee34594e861a3a61bd,
case_019,1,ok,81144,81144,0,0,0.0,0,179252,1.0,0.17559479999999894,ddd068690ce1cff9101b3178e96693a9405171fb66d9695b3294063898629e2e,
case_019,2,ok,42124,42124,326972,326972,0.17211274366016907,64544,310466,1.0,0.21388539999998102,65905a0e06fa6734da2339f7f5bce4f712b640d301560dea6d93f2e555932583,
case_019,3,ok,28729,28729,24576,24576,0.0,0,203828,1.0,0.16390920000003462,2a699552116fb842a7da9347c1d12c0a5fb16fb8b84802823cf512e104fdd4c6,
case_019,4,ok,24099,24099,51744,51744,0.08214860863391574,18976,212020,1.0,0.15739729999995689,50a3d17d402b15ef818857241634ad72c30c764a02b70f19b562d586fc2fd06d,
case_020,1,ok,532746,532746,0,0,0.0,0,1179648,1.0,3.4715541000000485,993559d1089a94ff2e2adc846c6464936db7c9f64f59d4de7188421f9f04a433,
case_020,2,ok,266580,266580,0,0,0.0,0,1179648,1.0,2.540358400000059,d1fb4a5b486caa40baadebfaa21e02143d89cb3d98c603aa82206af6390eb8db,
case_020,3,ok,177950,177950,0,0,0.0,0,1179648,1.0,2.2722838999998203,1ea58429fc5576c78ca0aee8feaa45e4ad843ae064854985e72d1369d47d2731,
case_020,4,ok,133704,133704,0,0,0.0,0,1179648,1.0,2.122623300000214,ecdb20624ab0060d46c2c85f4c87cd9cbd121f607d4900b5fb4365313c1089ab,
case_021,1,ok,6567937,6558837,4501504,4501504,0.5005973715651135,3432448,3424256,1.0013874410966457,2.1573672999998053,cbc21e36336638cf978979e81549d08ce2b2f7870dbd0a3939d49c92728a4df9,
case_021,2,ok,3155757,3155757,2789376,2789376,0.4820859872611465,2480128,2664448,1.0,1.6135340999999244,e16e92c01d1eed1eada297bc0781be2081123de7b7dd98adc407e64d59848910,
case_021,3,ok,2115614,2115614,4710400,4710400,0.3660869565217391,2586624,4478976,1.0,1.485661500000333,018f47fbd450aaa5d455d3a065ffc533b3df6ec6554bc5b39ecc7eec5a1a1cc0,
case_021,4,ok,1556743,1556743,4608000,4608000,0.6123529411764705,4263936,2699264,1.0,1.3933868999997685,fbbdf973387017d5da1c1009b14afd9f7fe2b75d23c5f6838f1100fa69e24c6e,
case_022,1,ok,56780,56780,0,0,0.0,0,213540,1.0,0.36577429999988453,293b05224b0ff9a9a43c481e398a288fea17c33992e77b9d71d69c6ebdefd8c2,
case_022,2,ok,29109,28996,528516,528516,0.177699803581304,93184,431206,1.0038970892536903,0.48075070000004416,1c120187715940dbeaaaedbfa8f3f57c312922bd5eda95c915c6695ec7e3bd94,
case_022,3,ok,19128,19128,13824,13824,0.060801182245210326,13824,213540,1.0,0.3692935999997644,6b13adac102401ca8df5321eefbb61e01717af509bb2f9a3217cd5c068df1333,
case_022,4,ok,14555,14555,13824,13824,0.060801182245210326,13824,213540,1.0,0.363281299999926,843e876baf45b88b676b488d57466063bedd215793fd7846d3ae87ef91f618a6,
case_023,1,ok,122614,122614,0,0,0.0,0,434122,1.0,0.24891200000001845,706b945e8dd06ae161663093879c4361ffa7748643fdfc41e365abe825d8500f,
