case,cores,strategy,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,subgraphs,wall_seconds,error
case_048,5,valley_merge_8,ok,121202,925782,1340572,109,0.397,
case_048,5,valley_merge_12,ok,156754,867702,1282492,100,0.38,
case_048,5,valley_merge_16,ok,117758,746258,1161048,76,0.357,
case_048,5,valley_merge_8_heft,ok,112126,925782,1340572,109,0.401,
case_048,5,valley_merge_12_heft,ok,145611,867702,1282492,100,0.404,
case_048,5,valley_merge_16_heft,ok,115540,746258,1161048,76,0.355,
case_064,5,valley_merge_8,ok,14443,146620,184034,49,0.168,
case_064,5,valley_merge_12,ok,17954,141420,178834,39,0.168,
case_064,5,valley_merge_16,ok,12369,121784,159198,31,0.163,
case_064,5,valley_merge_8_heft,ok,11569,146620,184034,49,0.211,
case_064,5,valley_merge_12_heft,ok,18424,141420,178834,39,0.207,
