case,cores,returncode,makespan_cycles,cache_hit_rate,process_wall_s
case_010,4,0,25000,0.23035049697332038,6.562820699997246
case_011,1,0,184697,0.0,2.3788330999959726
case_011,2,0,92646,0.0,4.618371599994134
case_011,3,0,63552,0.457002457002457,7.070638899996993
case_011,4,0,46880,0.0,5.172956199996406
case_012,1,0,55507,0.11054614545886367,3.1906735000084154
case_012,2,0,28446,0.19088892343753738,8.419008299999405
case_012,3,0,20613,0.23864374886131573,10.155252099997597
case_012,4,0,17109,0.074853228962818,7.8318793999933405
case_013,1,0,263949,0.0,2.175874999986263
case_013,2,0,132198,0.0,9.676754799991613
case_013,3,0,88351,0.0,15.69333419999748
case_013,4,0,66982,0.0,15.331647999992128
case_014,1,0,17688336,0.12290744743144864,220.53423419999308
case_014,2,0,8866290,0.23676759829719973,202.77164810000977
case_014,3,0,5911200,0.3183162392158663,185.505585100007
case_014,4,0,4426975,0.3983650647160839,239.51537159999134
case_015,1,0,174218,0.19567334369614187,5.93974440000602
case_015,2,0,85502,0.19714506803150494,7.623458599991864
case_015,3,0,60807,0.25730652385294756,6.591910699993605
case_015,4,0,47474,0.36797271187112934,10.637247699996806
case_016,1,0,7715523,0.0,179.99064779999026
case_016,2,0,4033396,0.0,184.74292210000567
case_016,3,0,2876681,0.001522618904515767,184.09309160000703
case_016,4,0,2241799,0.0030359773300377,192.9550770999922
case_017,1,0,150093,0.1991145510982744,7.360994600006961
case_017,2,0,82890,0.29423878930603703,12.117082799988566
case_017,3,0,55437,0.3388198002977765,15.675799400007236
case_017,4,0,42233,0.345022983810839,12.196721600004821
case_018,1,0,1003110,0.34375031576536474,12.135547700003372
case_018,2,0,500561,0.5230241131822172,23.97003460000269
case_018,3,0,337768,0.6251998573884636,29.18102980000549
case_018,4,0,255589,0.6034448147600189,36.463465499997255
case_019,1,0,62370,0.10157092730586587,1.805254100007005
case_019,2,0,37105,0.1413614019496209,3.693768799988902
case_019,3,0,29109,0.12057224718880624,3.213417999999365
case_019,4,0,22371,0.03016616529382683,3.768425100002787
case_020,1,0,532746,0.0,25.27053789999627
case_020,2,0,266580,0.0,27.13814049999928
case_020,3,0,177950,0.0,41.07789600000251
case_020,4,0,133704,0.0,39.46399440000823
case_021,1,0,6558837,0.5005973715651135,17.539477300000726
case_021,2,0,3193634,0.21777777777777776,34.566465199997765
case_021,3,0,2141468,0.4712624584717608,52.48780309999711
case_021,4,0,1550324,0.0,34.92373169999337
case_022,1,0,56780,0.0,2.190979500010144
case_022,2,0,28228,0.2269363726597529,8.18801220000023
