case,cores,singlecore_cycles,q1_cycles,q2_cycles,q3_cycles,q1_speedup,q2_speedup,q3_speedup,q3_cache_hit_rate,q3_cache_hit_bytes
case_036,1,931510.0,,931510.0,931510.0,,1.0,1.0,0.0,0
case_036,2,931510.0,466068.0,466068.0,466068.0,1.998656848356892,1.998656848356892,1.0,0.0,0
case_036,3,931510.0,311345.0,311345.0,311345.0,2.991890025534375,2.991890025534375,1.0,0.0,0
case_036,4,931510.0,233584.0,233584.0,233584.0,3.987901568600589,3.987901568600589,1.0,0.0,0
case_036,5,931510.0,187182.0,187182.0,187182.0,4.976493466252097,4.976493466252097,1.0,0.0,0
case_037,1,210001.0,,210001.0,210001.0,,1.0,1.0,0.0,0
case_037,2,210001.0,105374.0,105374.0,105374.0,1.992910964754114,1.992910964754114,1.0,0.0,0
case_037,3,210001.0,74038.0,74038.0,74038.0,2.836394824279424,2.836394824279424,1.0,0.5897435897435898,942080
case_037,4,210001.0,53320.0,53320.0,53320.0,3.938503375843961,3.938503375843961,1.0,0.0,0
case_037,5,210001.0,43800.0,43800.0,43013.0,4.794543378995434,4.794543378995434,1.0182967939925138,0.6425,1579008
case_038,1,1364555.0,,1364555.0,1363312.0,,1.0,1.0009117502083162,0.1736168151396097,1462272
case_038,2,1364555.0,683459.0,683459.0,683271.0,1.996542587046187,1.996542587046187,1.000275147049999,0.2215180090701754,1969152
case_038,3,1364555.0,462076.0,462076.0,461382.0,2.9530964603225445,2.9530964603225445,1.001504176582528,0.3343185098632208,3589632
case_038,4,1364555.0,346382.0,346382.0,344813.0,3.9394512416926974,3.9394512416926974,1.0045502924773717,0.37230805176598863,4302336
case_038,5,1364555.0,280919.0,280919.0,276012.0,4.857467811006019,4.857467811006019,1.0177782125414836,0.4182881728869427,4962816
case_039,1,1435262.0,,1435262.0,1435262.0,,1.0,1.0,0.0,0
case_039,2,1435262.0,708561.0,708561.0,705615.0,2.025601183243221,2.025601183243221,1.004175081312047,0.3701716738197425,5652480
case_039,3,1435262.0,485565.0,485565.0,483226.0,2.9558596686334475,2.9558596686334475,1.0048403852441714,0.38602697324784435,7151616
case_039,4,1435262.0,395323.0,395323.0,368055.0,3.6306058590064327,3.6306058590064327,1.0740867533384957,0.47821187077385424,10428416
case_039,5,1435262.0,431161.0,431161.0,340476.0,3.3288307615948565,3.3288307615948565,1.2663477014532596,0.3708927978758712,9154560
case_040,1,253454.0,,253454.0,253454.0,,1.0,1.0,0.0,0
case_040,2,253454.0,144027.0,144027.0,144001.0,1.7597672658598735,1.7597672658598735,1.0001805543017062,0.013306448993028408,12288
case_040,3,253454.0,110105.0,110105.0,110105.0,2.301929975932065,2.301929975932065,1.0,0.0,0
case_040,4,253454.0,110202.0,110202.0,110202.0,2.2999038129979494,2.2999038129979494,1.0,0.04138728659162181,39936
case_040,5,253454.0,110337.0,110337.0,110337.0,2.2970898248094476,2.2970898248094476,1.0,0.042438667979230925,41472
case_041,1,6003957.0,,6003957.0,6001575.0,,1.0,1.0003968958148486,0.10163681549404405,3643392
case_041,2,6003957.0,3002984.0,3002984.0,2998576.0,1.9993303327623457,1.9993303327623457,1.0014700311080993,0.1990828863125108,7068672
case_041,3,6003957.0,1998385.0,1998385.0,1994123.0,3.0044045566795186,3.0044045566795186,1.002137280398451,0.23199504912199273,9212928
case_041,4,6003957.0,1501288.0,1501288.0,1499034.0,3.999204016817559,3.999204016817559,1.0015036350076116,0.2549899427510444,10125312
case_041,5,6003957.0,1213259.0,1213259.0,1204876.0,4.948619379703756,4.948619379703756,1.0069575624379605,0.26142674070909866,11280384
case_042,1,1686740.0,,1686740.0,1675633.0,,1.0,1.0066285397816825,0.3186917583766532,2866176
case_042,2,1686740.0,849537.0,849537.0,845665.0,1.9854815034542346,1.9854815034542346,1.0045786452082088,0.39541631349025236,3493152
case_042,3,1686740.0,567781.0,567781.0,567317.0,2.97075809158813,2.97075809158813,1.0008178848862277,0.41334370918978874,4436256
case_042,4,1686740.0,444517.0,444517.0,439253.0,3.7945455404405233,3.7945455404405233,1.011983981896538,0.49030241163710603,5164320
case_042,5,1686740.0,362266.0,362266.0,361235.0,4.656081442917635,4.656081442917635,1.0028540977480034,0.4322488518389873,5376000
case_043,1,677656.0,,677656.0,677656.0,,1.0,1.0,0.03320740032104811,49152
case_043,2,677656.0,353177.0,353177.0,353177.0,1.918743293023045,1.918743293023045,1.0,0.21201528617526239,385024
case_043,3,677656.0,268777.0,268777.0,268777.0,2.521257399256633,2.521257399256633,1.0,0.1634279460665329,279552
case_043,4,677656.0,269194.0,269194.0,269194.0,2.517351798331315,2.517351798331315,1.0,0.31175187284291206,648192
case_043,5,677656.0,269612.0,269612.0,269612.0,2.5134489562779105,2.5134489562779105,1.0,0.3801286275092109,983040
case_044,1,154407.0,,154407.0,107814.0,,1.0,1.4321609438477378,0.8199885718367201,4408416
case_044,2,154407.0,131105.0,131105.0,85335.0,1.1777354029213225,1.1777354029213225,1.536356711782973,0.6652408850463568,3742592
