case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_032,3,2.690754447474354,2.690754447474354,15402,15402,12360,12360
case_032,4,2.9033907804399606,2.9033907804399606,14274,14274,12360,12360
case_032,5,3.9791646663466156,3.9791646663466156,10415,10415,12360,12360
case_033,2,1.975976825488399,1.894504621482633,897883,936496,6229536,7731434
case_033,3,2.9364285454202403,2.8461317578135654,604202,623371,7803456,6634254
case_033,4,3.853144939559652,3.6802937271822103,460454,482080,7531104,9210708
case_033,5,4.708663089115007,4.889531935533655,376794,362856,8297088,8163996
case_034,2,2.016114644045259,2.016114644045259,418129,418129,1648128,1648128
case_034,3,2.9838982000955703,2.9838982000955703,282515,282515,2638336,2638336
case_034,4,3.955647734524569,3.955647734524569,213112,213112,3176960,3176960
case_034,5,4.733379750247058,4.733379750247058,178096,178096,3536896,3536896
case_035,2,1.7773620107750037,1.7773620107750037,95406,95406,0,0
case_035,3,1.756047802493683,1.8407620495006514,96564,92120,894876,1214380
case_035,4,2.4974373324692922,2.268963671639794,67898,74735,583578,1211328
case_035,5,2.729073790939084,2.2717298108354322,62135,74644,968258,1568002
case_036,2,1.998656848356892,1.998656848356892,466068,466068,1152,1152
case_036,3,2.991890025534375,2.991890025534375,311345,311345,2304,2304
case_036,4,3.987901568600589,3.987901568600589,233584,233584,3456,3456
case_036,5,4.976493466252097,4.976493466252097,187182,187182,4608,4608
case_037,2,1.992910964754114,1.992910964754114,105374,105374,204800,204800
case_037,3,2.836394824279424,2.836394824279424,74038,74038,1064960,1064960
case_037,4,3.938503375843961,3.8198668509895226,53320,54976,614400,532480
case_037,5,4.794543378995434,4.678124303853865,43800,44890,1925120,655360
case_038,2,1.996542587046187,1.996542587046187,683459,683459,6094848,6094848
case_038,3,2.9530964603225445,2.9530964603225445,462076,462076,7942656,7942656
case_038,4,3.9394512416926974,3.91758896401246,346382,348315,8761344,8252564
case_038,5,4.857467811006019,4.6748145737337055,280919,291895,9070080,9579520
case_039,2,2.025601183243221,2.0139788114782853,708561,712650,11067392,8159232
case_039,3,2.9558596686334475,2.524545181109647,485565,568523,14323712,15192064
case_039,4,3.6306058590064327,3.902522717508932,395323,367778,17604608,12492800
case_039,5,3.3288307615948565,3.3288307615948565,431161,431161,20480000,20480000
case_040,2,1.7597672658598735,1.7597672658598735,144027,144027,12288,12288
case_040,3,2.301929975932065,2.301929975932065,110105,110105,0,0
case_040,4,2.2999038129979494,2.2999038129979494,110202,110202,53760,53760
case_040,5,2.2970898248094476,2.2970898248094476,110337,110337,66048,66048
case_041,2,1.9993303327623457,1.9729914464753229,3002984,3043073,30557184,23538096
case_041,3,3.0044045566795186,3.0039145229100157,1998385,1998711,34762752,34737276
case_041,4,3.999204016817559,3.9269936306898976,1501288,1528894,34759680,24485928
case_041,5,4.948619379703756,4.967214823651855,1213259,1208717,38200320,39054488
case_042,2,1.9854815034542346,1.9854815034542346,849537,849537,6469920,6469920
case_042,3,2.97075809158813,2.97075809158813,567781,567781,8368416,8368416
case_042,4,3.7945455404405233,3.7945455404405233,444517,444517,8168736,8168736
case_042,5,4.656081442917635,4.656081442917635,362266,362266,10073088,10073088
case_043,2,1.918743293023045,1.918743293023045,353177,353177,385024,385024
case_043,3,2.521257399256633,2.521257399256633,268777,268777,279560,279560
case_043,4,2.892010925230454,2.517351798331315,234320,269194,6799890,648200
case_043,5,3.142854492667588,2.5134489562779105,215618,269612,6880736,1155080
case_044,2,1.1777354029213225,3.2492371793522863,131105,47521,4672992,930400
case_044,3,1.1777354029213225,2.7737120068980383,131105,55668,4672992,1860800
case_044,4,1.1777354029213225,2.265194748037849,131105,68165,4672992,2791200
case_044,5,1.1777354029213225,1.855028412845249,131105,83237,4672992,3721600
case_045,2,1.99200748505368,1.99200748505368,63059,63059,0,0
case_045,3,2.94861622966597,2.94861622966597,42601,42601,0,0
case_045,4,3.940460505677897,3.940460505677897,31878,31878,0,0
case_045,5,4.801024308209754,4.801024308209754,26164,26164,0,0
case_046,2,1.6596129140702853,2.460527252661184,166578,112356,3521632,930400
case_046,3,1.9444561670042764,3.2701088242252188,142176,84540,4021280,1860800
