case,cores,strategy,active_cores,band_width,data_aware,status,makespan_cycles,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_014,5,band_w8_k2,2,8,0,ok,8933288,81928480,19843840,62084640,523776,266,20.271,
case_014,5,band_w12_k2,2,12,0,ok,8810735,68201188,9913060,58288128,523776,4870,15.369,
case_014,5,band_w4_k3,3,4,0,ok,6528376,125418460,63864796,61553664,523776,2360,23.682,
case_014,5,band_w8_k3,3,8,0,ok,6042774,84740692,30016852,54723840,523776,182,15.254,
case_014,5,band_w12_k3,3,12,0,ok,5929977,73513820,18166964,55346856,523944,2206,12.506,
case_014,5,band_w4_k4,4,4,0,ok,5069151,105585888,80797104,24788784,523776,1362,19.636,
case_014,5,band_w8_k4,4,8,0,ok,4630044,90376504,44921080,45455424,523776,158,14.662,
case_014,5,band_w12_k4,4,12,0,ok,4484418,77920772,29739524,48181248,523776,2480,12.174,
case_014,5,band_w4_k5,5,4,0,ok,4267953,133460864,89018480,44442384,523776,1264,19.368,
case_014,5,band_w8_k5,5,8,0,ok,3789721,94955328,50355744,44599584,523776,160,14.069,
case_014,5,band_w12_k5,5,12,0,ok,3643027,84785044,36384148,48400896,523776,1312,12.888,
case_015,5,band_w4_k2,2,4,0,ok,107874,1537406,818782,718624,181760,131072,0.239,
case_015,5,band_w8_k2,2,8,0,ok,108491,660352,455480,204872,324608,122896,0.189,
case_015,5,band_w12_k2,2,12,0,ok,92209,576808,158984,417824,317696,122906,0.166,
case_015,5,band_w4_k3,3,4,0,ok,77607,1654948,1474716,180232,180224,131072,0.209,
case_015,5,band_w8_k3,3,8,0,ok,67386,512092,479308,32784,313856,122894,0.178,
case_015,5,band_w12_k3,3,12,0,ok,66914,645668,449052,196616,317696,122896,0.22,
case_015,5,band_w4_k4,4,4,0,ok,64560,1870278,1673666,196612,180224,131072,0.237,
case_015,5,band_w8_k4,4,8,0,ok,55515,618088,585312,32776,293888,122892,0.185,
case_015,5,band_w12_k4,4,12,0,ok,57897,760348,711192,49156,305408,122892,0.212,
case_015,5,band_w4_k5,5,4,0,ok,61092,2123204,2008512,114692,180224,131072,0.246,
case_015,5,band_w8_k5,5,8,0,ok,53608,847984,847984,0,228352,106508,0.194,
case_015,5,band_w12_k5,5,12,0,ok,50949,844316,827928,16388,228352,122892,0.163,
case_016,5,band_w4_k2,2,4,0,ok,4154388,8536,8536,0,196608,65546,8.929,
case_016,5,band_w8_k2,2,8,0,ok,7715523,0,0,0,393216,65544,9.557,
case_016,5,band_w12_k2,2,12,0,ok,7715523,0,0,0,393216,65558,9.362,
case_016,5,band_w4_k3,3,4,0,ok,2876681,12192,12192,0,131072,65542,7.689,
case_016,5,band_w8_k3,3,8,0,duplicate,,,,,,,0.101,
case_016,5,band_w12_k3,3,12,0,duplicate,,,,,,,0.107,
case_016,5,band_w4_k4,4,4,0,ok,2241799,14628,14628,0,98304,65540,7.573,
case_016,5,band_w8_k4,4,8,0,duplicate,,,,,,,0.087,
case_016,5,band_w12_k4,4,12,0,duplicate,,,,,,,0.093,
case_016,5,band_w4_k5,5,4,0,ok,2242797,15844,15844,0,98304,65540,7.339,
case_016,5,band_w8_k5,5,8,0,duplicate,,,,,,,0.082,
case_016,5,band_w12_k5,5,12,0,duplicate,,,,,,,0.091,
case_017,5,band_w4_k2,2,4,0,ok,83115,513664,419456,94208,79872,122914,0.275,
case_017,5,band_w8_k2,2,8,0,ok,82940,265932,265932,0,104448,118806,0.239,
case_017,5,band_w12_k2,2,12,0,ok,86068,292364,292364,0,95232,129062,0.236,
case_017,5,band_w4_k3,3,4,0,ok,63808,926560,926560,0,76800,101908,0.304,
case_017,5,band_w8_k3,3,8,0,ok,57855,455788,455788,0,98304,119824,0.27,
case_017,5,band_w12_k3,3,12,0,ok,60769,449552,449552,0,95232,102426,0.241,
case_017,5,band_w4_k4,4,4,0,ok,43848,867412,867412,0,73728,72716,0.272,
case_017,5,band_w8_k4,4,8,0,ok,45566,598272,598272,0,90112,111634,0.238,
case_017,5,band_w12_k4,4,12,0,ok,44462,577548,577548,0,86016,71700,0.24,
case_017,5,band_w4_k5,5,4,0,ok,42992,1259876,1259876,0,73728,92178,0.311,
case_017,5,band_w8_k5,5,8,0,ok,46358,723072,653432,69640,86016,130070,0.263,
case_044,5,band_w1_k2,2,1,0,ok,44234,930400,930400,0,98560,0,0.209,
case_017,5,band_w12_k5,5,12,0,ok,42198,699412,699412,0,86016,88088,0.256,
case_044,5,band_w2_k2,2,2,0,ok,43931,930400,930400,0,172160,0,0.19,
case_044,5,band_w3_k2,2,3,0,ok,46162,930400,930400,0,172288,0,0.236,
case_044,5,band_w1_k3,3,1,0,ok,54338,1860800,1860800,0,90368,0,0.205,
case_044,5,band_w2_k3,3,2,0,ok,54016,1860800,1860800,0,163968,0,0.187,
case_044,5,band_w3_k3,3,3,0,ok,54744,1860800,1860800,0,164096,0,0.187,
case_018,5,band_w4_k2,2,4,0,ok,534247,6212720,4009072,2203648,524288,123392,0.835,
case_044,5,band_w1_k4,4,1,0,ok,67339,2791200,2791200,0,86272,0,0.213,
case_044,5,band_w2_k4,4,2,0,ok,67021,2791200,2791200,0,159872,0,0.185,
case_044,5,band_w3_k4,4,3,0,ok,67559,2791200,2791200,0,160000,0,0.197,
case_018,5,band_w8_k2,2,8,0,ok,518771,4677340,2802780,1874560,524288,122896,0.687,
case_044,5,band_w1_k5,5,1,0,ok,82394,3721600,3721600,0,86272,0,0.196,
case_044,5,band_w2_k5,5,2,0,ok,82232,3721600,3721600,0,159872,0,0.217,
case_044,5,band_w3_k5,5,3,0,ok,82601,3721600,3721600,0,160000,0,0.192,
case_018,5,band_w12_k2,2,12,0,ok,510255,3154956,1504268,1650688,524288,106502,0.602,
case_048,5,band_w1_k2,2,1,0,ok,143119,527974,527974,0,14976,12932,0.396,
case_048,5,band_w2_k2,2,2,0,ok,149271,525318,525318,0,14848,12804,0.373,
case_018,5,band_w4_k3,3,4,0,ok,379888,7161212,5821820,1339392,524288,90112,0.764,
case_048,5,band_w3_k2,2,3,0,ok,143555,397542,397542,0,20928,12804,0.382,
case_048,5,band_w1_k3,3,1,0,ok,117651,1063276,1063276,0,13312,10820,0.467,
case_018,5,band_w8_k3,3,8,0,ok,356239,6762608,5478512,1284096,524288,98308,0.762,
case_048,5,band_w2_k3,3,2,0,ok,129503,982668,982668,0,14912,10628,0.441,
case_018,5,band_w12_k3,3,12,0,ok,342041,4634632,3483656,1150976,524288,106504,0.652,
