case,cores,singlecore_cycles,q1_makespan_cycles,q1_added_copy_bytes,q1_speedup,q2_makespan_cycles,q2_added_copy_bytes,q2_speedup
case_050,4,149690.0,49447,707666,3.0272817360001616,49215,1303162,3.0415523722442344
case_050,5,149690.0,45042,975622,3.3233426579636784,47714,1526304,3.1372343546967345
case_051,2,607628.0,357955,9045258,1.6974982888910617,379535,9438408,1.6009801467585334
case_051,3,607628.0,291222,9045304,2.086476983194951,228013,376,2.6648831426278328
case_051,4,607628.0,254308,9045350,2.389338911870645,192346,1332,3.159036319965063
case_051,5,607628.0,253856,9045396,2.3935932182024455,191961,1520,3.165372132881158
case_052,2,180301.0,91254,102912,1.9758147588050934,91254,102912,1.9758147588050934
case_052,3,180301.0,63361,181248,2.845614810372311,63361,181248,2.845614810372311
case_052,4,180301.0,47721,259584,3.778231805703988,47721,259584,3.778231805703988
case_052,5,180301.0,51670,328704,3.4894716469905167,51670,328704,3.4894716469905167
case_053,2,1472686.0,774929,5959552,1.900414102453257,718971,4639598,2.0483246194909115
case_053,3,1472686.0,546106,5882944,2.6967035703691224,546106,5882944,2.6967035703691224
case_053,4,1472686.0,492232,6360992,2.991853434965626,492232,6360992,2.991853434965626
case_053,5,1472686.0,409010,8797386,3.600611231999218,520446,9600548,2.829661482651418
case_054,2,815051.0,444570,1442752,1.8333468295206603,435929,661958,1.869687494981981
case_054,3,815051.0,311323,2153244,2.6180237245561684,295182,1733776,2.76118123733832
case_054,4,815051.0,249519,2064246,3.266488724305564,231708,1766610,3.517578158717006
case_054,5,815051.0,198641,2566484,4.1031358078140965,202096,2922392,4.032989272424986
case_055,2,118835.0,65764,57856,1.8069916671735295,65764,57856,1.8069916671735295
case_055,3,118835.0,43687,115712,2.7201455810653057,43687,115712,2.7201455810653057
case_055,4,118835.0,31367,115712,3.788535722255874,31367,115712,3.788535722255874
case_055,5,118835.0,26781,198656,4.437287629289422,26781,198656,4.437287629289422
case_056,2,277285.0,168013,2372334,1.650378244540601,187182,1022802,1.4813657296107532
case_056,3,277285.0,118566,2182548,2.338655263734966,144637,1371916,1.9171097298754813
case_056,4,277285.0,146032,4613390,1.8987961542675578,121045,1936314,2.2907596348465447
case_056,5,277285.0,79083,1286732,3.506252924142989,112895,2504008,2.456131803888569
case_057,2,59726.0,33730,288,1.7707085680403203,33730,288,1.7707085680403203
case_057,3,59726.0,25250,288,2.3653861386138613,25250,288,2.3653861386138613
case_057,4,59726.0,20957,288,2.8499308107076393,20957,288,2.8499308107076393
case_057,5,59726.0,16538,27936,3.6114403192647235,16538,27936,3.6114403192647235
case_058,2,4539717.0,2271316,33431552,1.9987166030618373,2316879,31506432,1.9594104828089858
case_058,3,4539717.0,1554831,30400512,2.9197494775959574,1554831,30400512,2.9197494775959574
case_058,4,4539717.0,1154519,42622976,3.9321284448328697,1274373,27066368,3.562314173322881
case_058,5,4539717.0,1004819,32104448,4.517945022934478,1004819,32104448,4.517945022934478
case_059,2,829473.0,369318,360448,2.2459587672412393,369318,360448,2.2459587672412393
case_059,3,829473.0,266217,2998272,3.1157777301975456,266217,2998272,3.1157777301975456
case_059,4,829473.0,185216,1081344,4.478408992743607,185216,1081344,4.478408992743607
case_059,5,829473.0,150782,4325376,5.501140719714555,150782,4325376,5.501140719714555
case_060,2,888789.0,469437,2768912,1.8933083672569482,469437,2768912,1.8933083672569482
case_060,3,888789.0,334622,3439756,2.656098523109658,334622,3439756,2.656098523109658
case_060,4,888789.0,229383,3699968,3.8746942885915696,229383,3699968,3.8746942885915696
case_060,5,888789.0,183272,4290944,4.849562399057139,183272,4290944,4.849562399057139
case_061,2,77191.0,39299,34560,1.9641975622789385,39299,34560,1.9641975622789385
case_061,3,77191.0,28409,43008,2.7171318948220633,28409,43008,2.7171318948220633
case_061,4,77191.0,27166,62208,2.8414562320547745,27166,62208,2.8414562320547745
case_061,5,77191.0,21240,147464,3.6342278719397365,20949,157028,3.684710487374099
case_062,2,2854809.0,1432382,453120,1.9930500383277645,1625119,16422912,1.7566768956611793
case_062,3,2854809.0,957963,453120,2.9800827380598207,1126037,15585792,2.5352710434914663
case_062,4,2854809.0,720121,453120,3.96434626958525,885322,14976000,3.2245996371941508
case_062,5,2854809.0,581554,453120,4.908931930654763,567755,15037440,5.028241054680276
case_063,2,1070397.0,538527,192000,1.9876385028048733,585524,5064192,1.828100983051079
case_063,3,1070397.0,361111,192000,2.964177219746837,351019,4792320,3.0493990353798512
case_063,4,1070397.0,270325,6948864,3.959667067418848,263878,5203968,4.056408643388233
case_063,5,1070397.0,220501,6948864,4.8543861479086265,373335,9785856,2.8671220217766886
case_064,2,19116.0,17589,21128,1.0868156234009894,13773,40166,1.38793291221956
case_064,3,19116.0,13511,106920,1.4148471615720524,10681,65868,1.7897200636644508
case_064,4,19116.0,13762,66058,1.3890422903647726,10465,83824,1.8266602962255136
case_064,5,19116.0,10807,104956,1.7688535208661054,10292,83728,1.85736494364555
case_065,2,53068.0,26928,13968,1.970736779560309,26928,13968,1.970736779560309
case_065,3,53068.0,18165,27792,2.921442334159097,18165,27792,2.921442334159097
case_065,4,53068.0,14502,41616,3.659357330023445,14502,41616,3.659357330023445
case_065,5,53068.0,12156,55584,4.365580783152352,12156,55584,4.365580783152352
case_066,2,359070.0,194221,1503212,1.8487702153732088,187136,962412,1.918764962380301
case_066,3,359070.0,146543,2060548,2.450270569047993,138900,1875416,2.585097192224622
case_066,4,359070.0,124420,2080348,2.885950811766597,112071,2276914,3.2039510667344806
case_066,5,359070.0,107901,2170250,3.3277726805126924,94904,2420166,3.7835075444659867
case_067,2,63834834.0,32653531,286394624,1.9549136661514492,32214746,183980416,1.9815408136385741
case_067,3,63834834.0,22318407,286373248,2.8601877365172164,23139702,179768064,2.7586713951631703
case_067,4,63834834.0,16948554,286394624,3.766388212233327,18057629,177194112,3.5350617736138004
case_067,5,63834834.0,14490809,276070656,4.405194630610341,15329318,175668736,4.164231833405766
case_068,2,362095.0,209801,1998586,1.7258973980104957,192023,1290782,1.8856855689162235
case_068,3,362095.0,165775,2629054,2.18425576836073,134975,2190516,2.682681978144101
case_068,4,362095.0,129908,2916530,2.7873187178618717,122595,3057330,2.95358701415229
