returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,0.5961483000064618,case_045,2,63059,63059,125614,1.99200748505368,63059,1.99200748505368,component_baseline,1,0
0,0.603222799996729,case_045,3,42601,42601,125614,2.94861622966597,42601,2.94861622966597,component_baseline,1,0
0,0.6304725000009057,case_045,4,31878,31878,125614,3.940460505677897,31878,3.940460505677897,component_baseline,1,0
0,0.6787957000051392,case_045,5,26164,26164,125614,4.801024308209754,26164,4.801024308209754,component_baseline,1,0
0,0.8537366000018665,case_046,2,166578,166578,276455,1.6596129140702853,166578,1.6596129140702853,component_baseline,2,3521632
0,1.0290525000018533,case_046,3,142176,142176,276455,1.9444561670042764,142176,1.9444561670042764,component_baseline,3,4021280
0,0.923675900005037,case_046,4,124612,124612,276455,2.218526305652746,124612,2.218526305652746,component_baseline,3,4513952
0,0.5880982000016957,case_046,5,124612,124612,276455,2.218526305652746,131039,2.10971542823129,reuse_pack_k4,2,4513952
0,13.118055399994773,case_047,2,204157,204173,326508,1.5992985790347625,326508,1.0,greedy_schedule,3,1097874
0,13.0147192000004,case_047,3,156983,158634,326508,2.079894001261283,326508,1.0,greedy_schedule,3,1617022
0,8.522410800003854,case_047,4,129665,130176,326508,2.5180889214514326,326508,1.0,greedy_schedule,2,1490922
0,9.144623700005468,case_047,5,122204,123511,326508,2.6718274360904717,326508,1.0,greedy_schedule,2,2337366
0,2.526593700000376,case_048,2,172445,214533,222220,1.2886427556612252,222220,1.0,greedy_schedule,5,1084394
0,2.3672743999995873,case_048,3,141992,148643,222220,1.5650177474787312,222220,1.0,greedy_schedule,4,1273858
0,1.1919167000014568,case_048,4,111891,121147,222220,1.9860399853428783,222220,1.0,greedy_schedule,2,925012
0,1.624952199999825,case_048,5,111885,121202,222220,1.9861464896992447,222220,1.0,greedy_schedule,3,925782
0,5.9033837000024505,case_049,2,160206,164401,196276,1.2251476224361135,160206,1.2251476224361135,component_baseline,3,0
0,5.839403300000413,case_049,3,135263,136156,196276,1.4510693981354843,160224,1.2250099860195727,greedy_schedule,4,1567492
0,4.265591800001857,case_049,4,118671,119068,196276,1.6539508388738613,160242,1.2248723805244568,greedy_schedule,3,1621840
0,4.055131299995992,case_049,5,110442,111647,196276,1.777186215389073,160260,1.224734805940347,greedy_schedule,3,1570238
0,4.268952999998874,case_050,2,93710,94649,149690,1.5973748799487781,108121,1.3844674022622803,greedy_schedule,3,1099542
0,4.223510299998452,case_050,3,74118,76625,149690,2.0196173669014272,108134,1.384300959920099,greedy_schedule,3,1257138
0,5.690348100004485,case_050,4,61739,66972,149690,2.4245614603411134,108147,1.384134557592906,greedy_coarsen,4,1344466
0,4.511436100001447,case_050,5,58249,59260,149690,2.5698295249703857,108160,1.3839681952662721,greedy_schedule,3,1463942
0,0.9236168999996153,case_051,2,357955,378655,607628,1.6974982888910617,607628,1.0,greedy_schedule,2,9045258
0,1.3161739999995916,case_051,3,291222,291222,607628,2.086476983194951,607628,1.0,fork_join_w3,3,9045304
0,1.3675227999992785,case_051,4,254308,254308,607628,2.389338911870645,607628,1.0,fork_join_w3,3,9045350
0,1.2787991000004695,case_051,5,253856,274556,607628,2.3935932182024455,607628,1.0,greedy_schedule,3,9045396
0,1.3901937999980873,case_052,2,91254,91254,180301,1.9758147588050934,91254,1.9758147588050934,component_baseline,4,102912
0,1.456139499998244,case_052,3,63361,63361,180301,2.845614810372311,63361,2.845614810372311,component_baseline,4,181248
0,1.4148758000010275,case_052,4,47721,47721,180301,3.778231805703988,47721,3.778231805703988,component_baseline,4,259584
0,1.4901297000033082,case_052,5,47169,51670,180301,3.8224469460874726,51670,3.4894716469905167,terminal_w2,4,443464
0,45.87312349999411,case_053,2,774929,774929,1472686,1.900414102453257,774929,1.900414102453257,component_baseline,4,5959552
0,32.43468690000009,case_053,3,546106,546106,1472686,2.6967035703691224,546106,2.6967035703691224,component_baseline,3,5882944
0,48.62077209999552,case_053,4,492232,492232,1472686,2.991853434965626,492232,2.991853434965626,component_baseline,4,6360992
0,52.35624649999954,case_053,5,480055,492699,1472686,3.067744320963223,492699,2.9890176355137723,greedy_schedule,5,13154882
0,83.4985267000011,case_054,2,443753,443753,815051,1.836722230610272,517960,1.5735790408525754,valley_w3,5,1442752
0,17.593078300000343,case_054,3,311323,312064,815051,2.6180237245561684,517986,1.573500055986069,greedy_schedule,3,2153244
0,16.813928399998986,case_054,4,249519,249519,815051,3.266488724305564,518015,1.5734119668349371,valley_w6,3,2064246
0,11.389200199999323,case_054,5,209490,211058,815051,3.8906439448183683,518133,1.5730536368075378,greedy_schedule,2,2858836
